index,name,brand,price,number_of_comment,weight(kg),Negative,Positive,rank
41,Máy giặt Toshiba Inverter 7.5 Kg TW-BH85S2V WK ,Toshiba,5990000,16,61,0.223563105,0.776436895,242
42,Máy giặt LG Inverter 8 kg FM1208N6W ,LG,7760000,9,67,0.276499843,0.723500157,219
43,Máy giặt LG Inverter 9 kg FV1409S2V - Chỉ giao Hà Nội ,LG,10539000,6,62,0.178460553,0.821539447,196
44,Máy giặt LG Inverter 10.5 kg FV1450S2B - Chỉ giao HCM ,LG,13669000,14,65.8,0.145930276,0.854069724,233
45,Máy giặt Aqua 7.2 kg AQW-S72CT ,Aqua,3340000,4,30,0.212602258,0.787397742,160
46,Máy giặt Samsung Inverter 9 kg WW90K52E0WW/SV - Chỉ giao HCM và Hà Nội ,Samsung,7799000,4,63,0.197326002,0.802673998,158
47,Máy giặt Sharp 10 kg ES-W100PV-H - Chỉ giao HCM ,Sharp,4590000,11,37,0.168977768,0.831022232,222
48,Máy giặt LG Inverter 9 kg FV1409S2V - Chỉ giao HCM ,LG,10699000,6,62,0.218447096,0.781552904,199
49,Máy Giặt Samsung Inverter 8.5 kg WW85J42G0BX/SV - Chỉ giao HCM ,Samsung,8090000,7,61,0.145176984,0.854823016,203
50,Máy Giặt Samsung 8.2kg WA82M5110SG ,Samsung,3990000,8,40,0.231424729,0.768575271,211
51,Máy giặt mini 1 lồng 6.5Kg chuyên dụng gia đình nhỏ  sinh viên ,OEM,1799999,3,29.4,0.546485079,0.453514921,181
52,Máy giặt LG Inverter 8 kg FC1408S3E ,LG,8749000,17,65,0.230628595,0.769371405,245
53,Máy giặt LG Inverter 9 kg FV1409S4W - Chỉ giao Hà Nội ,LG,9339000,8,62,0.25326503,0.74673497,213
54,Máy giặt Toshiba 7 kg AW-K800AV(WW) - Chỉ giao HCM ,Toshiba,3990000,10,33,0.239846874,0.760153126,221
55,Máy giặt Toshiba Inverter 9.5 Kg TW-BK105S2V(WS) - Chỉ giao HCM ,Toshiba,7105000,4,68,0.127674534,0.872325466,145
56,Máy giặt Toshiba 8 kg AW-K905DV(SG) - Chỉ giao HCM ,Toshiba,4850000,14,37,0.154438151,0.845561849,234
57,Máy Giặt Sấy Cửa Trước Inverter LG FV1450H2B (10.5kg/7kg) - Hàng Chính Hãng (Chỉ Giao Tại HCM) ,LG,16990000,4,70.4,0.189494508,0.810505492,156
58,Máy giặt Electrolux Inverter 10 kg EWF1023BESA ,Electrolux,14250000,5,71,0.214339354,0.785660646,186
59,Máy Giặt Cửa Trước Inverter Electrolux EWF9025BQ (9kg) - Hàng Chính Hãng ,Electrolux,8590000,6,62,0.320058584,0.679941416,202
60,Máy Giặt Cửa Trước Inverter Electrolux EWF8025BQ (8kg) - Hàng Chính Hãng ,Electrolux,7390000,9,62,0.248820467,0.751179533,218
61,Máy giặt sấy Samsung AddWash Inverter 9.5 kg WD95K5410OX/SV - HÀNG CHÍNH HÃNG ,Samsung,12490000,2,70.2,0.103598354,0.896401646,61
62,Máy giặt sấy Electrolux Inverter 8 kg EWW8023AEWA ,Electrolux,12619000,5,68.8,0.469289201,0.530710799,200
63,Máy giặt Electrolux Inverter 8 kg EWF8024ADSA - Hàng Chính Hãng ,Electrolux,9269000,8,58,0.25946857,0.74053143,214
64,Máy Giặt LG Inverter 8.5 Kg FV1408S4V - Chỉ Giao Hà Nội ,LG,9339000,3,62,0.272811802,0.727188198,136
65,Máy giặt Sharp 7.8 kg ES-W78GV-G - Chỉ giao HCM ,Sharp,3589000,3,29,0.151750713,0.848249287,112
66,Máy giặt LG Inverter 9 kg FV1409S2W - Chỉ giao HCM ,LG,10229000,3,62,0.339236959,0.660763041,151
67,Máy Giặt Mini Bán Tự Động  Tia UV Khử Khuẩn ,OEM,1150000,10,29.4,0.380589654,0.619410346,224
68,Máy Giặt Cửa Trên Sharp ES-W78GV-G (7.8kg) - Hàng Chính Hãng - Chỉ giao tại Hà Nội ,Sharp,3439000,2,29,0.571225598,0.428774402,159
69,Máy giặt Electrolux Inverter 8 kg EWF8024BDWA ,Electrolux,8550000,5,65,0.237726265,0.762273735,190
70,Máy giặt LG Inverter 11.5 kg T2351VSAM ,LG,5689000,3,40,0.151750713,0.848249287,113
71,Máy giặt Electrolux Inverter 8 kg EWF8024BDWA ,Electrolux,8590000,11,65,0.30021837,0.69978163,229
72,Máy giặt Panasonic 8 kg NA-F80VS9GRV ,Panasonic,4379000,1,34,0.151750713,0.848249287,14
73,Máy giặt Aqua Inverter 9.5 kg AQD-D950E N Mẫu 2019 - HÀNG CHÍNH HÃNG ,Aqua,7250000,2,66.8,0.214488554,0.785511446,91
74,Máy Giặt Cửa Trên Aqua AQW-S72CT (7.2kg) - Hàng Chính Hãng ,Aqua,3459000,7,30,0.229767716,0.770232284,206
75,Máy giặt LG Inverter 10.5 kg FV1450S2B - Chỉ giao Hà Nội ,LG,13979000,4,65.6,0.244400893,0.755599107,163
76,Máy giặt Electrolux Inverter 9 kg EWF12933 ,Electrolux,8929000,8,55,0.182259002,0.817740998,209
77,Máy Giặt Inverter LG T2108VSPM2 (8kg) - Hàng Chính Hãng - Chỉ Giao Tại HCM ,LG,4649000,3,30,0.296483945,0.703516055,142
78,Máy giặt Toshiba Inverter 9.5 kg TW-BH105M4 ,Toshiba,7699000,2,71,0.117260842,0.882739158,70
79,Máy giặt Electrolux Inverter 9 kg EWF9024BDWB ,Electrolux,9140000,4,71,0.405997106,0.594002894,189
80,Máy Giặt Mini Giặt Đồ Tiết Kiệm Nước Bán Tự Động Giặt 3 2kg Đồ ,OEM,840000,1,29.4,0.19246453,0.80753547,34
81,Máy Giặt Samsung 8.2kg WA82M5110SG ,Samsung,3879000,8,40,0.250224343,0.749775657,212
82,Máy Giặt LG Inverter 8.5 Kg FV1408S4V - Chỉ Giao HCM ,LG,9339000,4,62,0.12541375,0.87458625,143
83,Máy giặt mini bán tự động   giặt đồ trẻ e không gây tiếng ồn ,OEM,810000,2,29.4,0.392013871,0.607986129,127
84,Máy giặt Toshiba 8.2 kg AW-J920LV SB ,Toshiba,4679000,17,31,0.312576229,0.687423771,246
85,Máy Giặt Mini 2 Lồng - Giặt Đồ Trẻ Em ,OEM,2119000,6,29.4,0.388432555,0.611567445,205
86,Máy Giặt Samsung Inverter 9 kg WA90T5260BY/SV - Chỉ giao HCM ,Samsung,6479000,1,40,0.151750713,0.848249287,15
87,Máy giặt mini tại xô DEKE GT-16AC tiết kiệm điện cho sinh viên và em bé có hẹn giờ và đảo chiều ,OEM,1230000,5,29.4,0.205529114,0.794470886,184
88,Máy Giặt Cửa Trên Sharp ES-W80GV-H (8kg) - Hàng Chính Hãng - Chỉ giao tại Hà Nội ,Sharp,3650000,4,29,0.331953127,0.668046873,176
89,Máy giặt Toshiba Inverter 9.5 kg TW-BH105M4 ,Toshiba,7699000,3,71,0.20171728,0.79828272,123
90,Máy giặt Toshiba Inverter 9 Kg AW-DJ1000CV SK ,Toshiba,6899000,11,39,0.261850321,0.738149679,228
91,Máy giặt sấy LG Inverter 10.5 kg FV1450H2B - HÀNG CHÍNH HÃNG ,LG,16750000,5,70.4,0.215502702,0.784497298,187
92,Máy Giặt Quần Áo Mini Bán Tự Động Cao Cấp Tiết KIệm Điện Nước ,OEM,870000,2,29.4,0.103598354,0.896401646,62
93,Máy giặt Toshiba 8 kg AW-K900DV(WW) - Chỉ giao HCM ,Toshiba,4499000,2,37,0.392873607,0.607126393,128
94,Máy giặt LG Inverter 9 kg FM1209N6W ,LG,8690000,1,63.8,0.376729061,0.623270939,88
96,Máy giặt Electrolux Inverter 11 kg EWF1141SESA - HÀNG CHÍNH HÃNG ,Electrolux,17390000,2,70.4,0.151750713,0.848249287,77
97,Máy Giặt Sấy LG Inverter 8.5 Kg FV1408G4W - Chỉ Giao HCM ,LG,10999000,1,69,0.230545058,0.769454942,48
98,Máy giặt sấy Samsung Inverter 10.5 kg WD10K6410OS/SV ,Samsung,14199000,1,72,0.07274033,0.92725967,10
99,Máy giặt Samsung Addwash Inverter 10 kg WW10K54E0UX/SV - Chỉ giao HCM ,Samsung,9999000,2,63,0.151750713,0.848249287,78
100,Máy giặt Toshiba 8.2 kg AW-F920LV WB ,Toshiba,4049000,2,31,0.232120812,0.767879188,96
102,Máy giặt Sharp 8 kg ES-W80GV-H -Chỉ giao HCM ,Sharp,3519000,5,29,0.094280739,0.905719261,166
103,Máy giặt Toshiba Inverter 9.0 kg AW-DK1000FV-KK - HÀNG CHÍNH HÃNG ,Toshiba,7990000,4,40,0.231805184,0.768194816,162
104,Máy giặt LG Inverter 8 kg FC1408S3E ,LG,8759000,6,65,0.123902424,0.876097576,193
105,Máy giặt Aqua 8 Kg AQW-S80CT H2 ,Aqua,3919000,5,34,0.217582126,0.782417874,188
106,Máy Giặt Samsung Inverter 9kg WW90K54E0UW/SV ,Samsung,8990000,5,63,0.298320848,0.701679152,192
107,Máy giặt LG Inverter 9 kg FC1409S2E ,LG,10570000,10,57.6,0.196458108,0.803541892,220
108,Máy giặt LG Inverter 19 kg TH2519SSAK ,LG,13390000,2,65.8,0.103598354,0.896401646,63
109,Máy Giặt Cửa Trên Samsung WA85M5120SG/SV (8.5kg) - Xám - Hàng Chính Hãng ,Samsung,4390000,1,41,0.151750713,0.848249287,16
110,Máy giặt Electrolux Inverter 8 kg EWF8024ADSA ,Electrolux,9890000,6,65,0.182288809,0.817711191,197
111,Máy Giặt SamSung 8.5kg WA85J5711SG ,Samsung,4790000,1,42,0.801172615,0.198827385,165
112,Máy giặt LG Inverter 9kg FV1409S3W - Chỉ giao Hà Nội ,LG,9379000,1,62,0.136433786,0.863566214,13
113,Máy giặt Samsung Inverter 8 kg WW80T3020WW - Chỉ giao Hà Nội ,Samsung,6190000,3,57,0.262723944,0.737276056,134
114,Máy giặt LG Inverter 10.5 kg FV1450S3W - Chỉ giao Hà Nội ,LG,12399000,3,70.2,0.130213458,0.869786542,109
115,Máy giặt sấy Electrolux Inverter 8 kg EWW8023AEWA ( hàng chính hãng) ,Electrolux,12590000,1,68.8,0.4780556,0.5219444,105
116,Máy Giặt Cửa Trước Inverter Electrolux EWF8025CQ (8kg) - Hàng Chính Hãng ,Electrolux,7009000,3,62,0.192116235,0.807883765,122
117,Máy Giặt Cửa Trên Sharp ES-W102PV-H (10.2kg) - Hàng Chính Hãng - Chỉ giao tại Hà Nội ,Sharp,5050000,4,37,0.214736855,0.785263145,161
118,Máy giặt Electrolux Inverter 9 kg EWF9024BDWA ,Electrolux,9490000,2,62,0.387065817,0.612934183,125
119,Máy Giặt Samsung Inverter 9kg WW90K54E0UW/SV ,Samsung,9090000,5,63,0.20737394,0.79262606,185
120,Máy giặt LG Inverter 9 kg FV1409S4W - Chỉ giao HCM ,LG,9199000,2,62,0.151750713,0.848249287,79
121,Máy giặt Sharp 11 kg ES-W110HV-S - Chỉ giao HCM ,Sharp,5190000,2,37,0.144857829,0.855142171,74
123,Máy giặt Toshiba Inverter 9.5 kg TW-BH105M4V SK Mẫu 2019 (HÀNG CHÍNH HÃNG) ,Toshiba,8890000,4,55,0.172978584,0.827021416,152
124,Máy giặt Samsung Inverter 9 kg WW90J54E0BW/SV ,Samsung,8190000,4,61,0.380398824,0.619601176,183
125,Máy giặt LG Inverter 15.5 kg T2555VS2M ,LG,9640000,5,63.4,0.139122646,0.860877354,174
126,Máy giặt Samsung WA90M5120SG/SV ,Samsung,4369000,2,41,0.461173423,0.538826577,137
127,Máy giặt sấy Electrolux Inverter 10 kg EWW1042AEWA ,Electrolux,18450000,1,70.4,0.254401511,0.745598489,53
128,Máy Giặt Cửa Trên Inverter LG T2351VSAM (11.5kg) - Hàng Chính Hãng ,LG,5790000,1,40,0.294409906,0.705590094,67
132,Máy Giặt Mini 2 Lồng Giặt Vắt Độc Lập Cao Cấp ,OEM,1765000,1,29.4,0.151750713,0.848249287,17
133,Máy giặt Toshiba Inverter 8.5 kg TW-BH95M4 ,Toshiba,6940000,4,68,0.359832044,0.640167956,179
135,Máy giặt LG Inverter 13 kg TH2113SSAK ,LG,10490000,3,38,0.369631203,0.630368797,157
136,Máy giặt LG Inverter 9 kg FC1409S2E ,LG,10399000,15,57.2,0.389063056,0.610936944,241
137,Máy giặt Aqua 10 Kg AQW-FR100ET-S HÀNG CHÍNH HÃNG ,Aqua,5390000,3,40,0.428264906,0.571735094,164
138,Máy giặt Electrolux Inverter 8 kg EWF8025BQWA ,Electrolux,7280000,1,62,0.151750713,0.848249287,18
139,Máy giặt Electrolux Inverter 7.5 Kg EWF7525DQWA ,Electrolux,6670000,4,62,0.376053473,0.623946527,182
140,Máy giặt LG Inverter 10.5 kg FV1450S3V - Chỉ giao HCM ,LG,12979000,3,62,0.110811273,0.889188727,101
141,Máy giặt LG Inverter 9 kg FM1209N6W ,LG,8690000,3,63.8,0.139277685,0.860722315,110
142,Máy giặt Electrolux Inverter 9kg EWF9023BDWA ,Electrolux,11249000,3,68.4,0.144141764,0.855858236,111
143,Máy giặt Sharp 9 kg ES-W90PV-H - Chỉ giao HCM ,Sharp,4219000,2,29,0.307401824,0.692598176,108
145,Máy giặt Electrolux Inverter 9.5 kg EWF9523ADSA ,Electrolux,12290000,2,71,0.404444534,0.595555466,129
146,Máy Giặt Inverter LG T2108VSPM2 (8kg) - Hàng Chính Hãng - Chỉ Giao Tại Hà Nội ,LG,4990000,2,30,0.037886671,0.962113329,42
147,Máy giặt Panasonic Inverter 8.5 kg NA-FS85X7LRV ,Panasonic,7490000,1,40,0.041615401,0.958384599,4
150,Máy giặt Toshiba inverter 9.5 kg TW-BK105G4V-SS - Hàng Chính Hãng - chỉ giao hàng TP.HCM ,Toshiba,10890000,1,71,0.429389814,0.570610186,98
151,Máy giặt Inverter Electrolux EWF1024BDWA .10Kg ( hàng chính hãng ) ,Electrolux,10479000,3,57.4,0.255746429,0.744253571,133
153,Máy giặt Candy 12kg GVF1412LWHC3/1-S ,Candy,8449000,2,58.8,0.118062234,0.881937766,72
154,Máy giặt Samsung Addwash Inverter 9 kg WW90K54E0UX/SV ,Samsung,10690000,1,63,0.041615401,0.958384599,5
155,Máy giặt sấy Electrolux Inverter 10 kg EWW1042AEWA ( hàng chính hãng) ,Electrolux,18550000,1,70.4,0.151750713,0.848249287,19
156,Máy giặt Toshiba 9 kg AW-K1000FV(WW) - Chỉ giao HCM ,Toshiba,5149000,2,40,0.252069657,0.747930343,99
158,Máy giặt Toshiba 9 Kg AW-H1000GV SB ,Toshiba,5890000,3,39,0.46725967,0.53274033,170
160,Máy Giặt PANASONIC INVERTER 11.5 Kg NA-FD11AR1GV - HÀNG CHÍNH HÃNG ,Panasonic,9490000,1,62,0.182753086,0.817246914,33
161,Máy giặt Sharp 9 kg ES-W90PV-H - HÀNG CHÍNH HÃNG ,Sharp,4290000,1,29,0.366299014,0.633700986,86
162,Máy Giặt Cửa Trước Inverter Aqua AQD-D850E (8.5kg) - Hàng Chính Hãng ,Aqua,8290000,4,73,0.485099118,0.514900882,194
163,Máy giặt Electrolux Inverter 9 Kg EWF9025BQSA ,Electrolux,8690000,1,62,0.25291887,0.74708113,52
164,Máy Giặt Cửa Trước Inverter Electrolux EWF8025BQWA (8kg) - Hàng Chính Hãng ,Electrolux,7590000,0,62,0.873374181,0.126625819,150
166,Máy giặt Sharp 10.2Kg ES-W102PV-H MẪU MỚI 2019 - HÀNG CHÍNH HÃNG ,Sharp,4749000,2,35.4,0.333999474,0.666000526,116
167,Máy giặt LG Inverter 8 kg FC1408S4W2 ,LG,8250000,149,62,0.273667945,0.726332055,267
168,Máy giặt Electrolux Inverter 9kg EWF9023BDWA ,Electrolux,11249000,2,68.4,0.177653709,0.822346291,84
169,Máy giặt Sharp 11Kg ES-W110HV-S - HÀNG CHÍNH HÃNG ,Sharp,5089000,8,35.6,0.33555592,0.66444408,216
170,Máy giặt sấy LG Inverter 10.5 kg FG1405H3W1 ,LG,18190000,2,86,0.543163395,0.456836605,154
173,Máy giặt LG TWINWash Inverter F2721HTTV & T2735NWLV ,LG,38290000,2,68.8,0.227728355,0.772271645,94
176,MÁY GIẶT MINI SÓNG ÂM UFO CAO CẤP ,OEM,590000,2,29.4,0.151750713,0.848249287,80
177,Máy giặt Aqua Inverter 10 Kg AQW-DR100ET S ,Aqua,6849000,1,40,0.151750713,0.848249287,20
179,Máy giặt Panasonic Inverter 9.5 kg NA-FS95V7LMX ,Panasonic,7849000,3,40,0.355660651,0.644339349,153
182,Máy giặt Panasonic 10 kg NA-F100A4GRV ,Panasonic,6179000,1,36,0.381023226,0.618976774,90
183,Máy giặt Toshiba Inverter 8.5 kg TW-BH95M4 ,Toshiba,6950000,1,68,0.544293935,0.455706065,120
186,Máy giặt LG Inverter 10.5 kg T2350VS2M ,LG,6155000,0,42,0.151750713,0.848249287,1
189,Máy giặt Candy Inverter 9 kg GVS 149THC3/1-04 - Chỉ giao HCM ,Candy,5999000,1,68,0.270279632,0.729720368,58
190,Máy giặt Panasonic 9 kg NA-F90A4GRV ,Panasonic,5760000,4,36,0.274492218,0.725507782,167
191,Máy Giặt Cửa Trên Aqua AQW-F800BT-N (8kg) - Hàng Chính Hãng ,Aqua,4469000,1,43,0.055445995,0.944554005,7
193,Máy giặt Toshiba 8.2 kg AW-F920LV WB ,Toshiba,4049000,1,31,0.151750713,0.848249287,21
194,Máy giặt LG Inverter 13.5 kg T2553VS2M ,LG,6990000,5,60,0.313174844,0.686825156,195
195,Máy Giặt Sharp ES-W100PV-H 10 Kg - HÀNG CHÍNH HÃNG ,Sharp,4559000,1,35.2,0.4071418,0.5928582,93
196,MÁY GIẶT PANASONIC INVERTER 10.5 KG NA-FD10VR1BV - HÀNG CHÍNH HÃNG ,Panasonic,10270000,1,57.2,0.009462387,0.990537613,2
197,Máy giặt sấy LG Inverter 10.5 kg FV1450H2B - Chỉ giao Hà Nội ,LG,16985000,2,70.4,0.509705799,0.490294201,148
198,Máy giặt LG Inverter 10.5 kg FV1450S3W - HÀNG CHÍNH HÃNG ,LG,12240000,1,70.2,0.151750713,0.848249287,22
199,Máy giặt LG Inverter 13.5 kg T2553VS2M ,LG,7590000,1,59.2,0.151750713,0.848249287,23
203,Máy giặt Toshiba Inverter 16 kg AW-DUG1700WV (SS) ,Toshiba,13690000,3,53,0.318191222,0.681808778,147
205,Máy Giặt Toshiba 8Kg AW-K905DV (SG) - HÀNG CHÍNH HÃNG ,Toshiba,4849000,2,37.4,0.416233066,0.583766934,131
206,Máy Giặt Electrolux Inverter 11kg EWF1141AEWA ,Electrolux,18250000,1,70.4,0.222127821,0.777872179,44
210,Máy Giặt Cửa Trước Inverter Electrolux EWF8025CQ (8kg) - Hàng Chính Hãng ,Electrolux,7750000,1,62,0.151750713,0.848249287,24
211,Máy Giặt Cửa Trên Inverter LG T2395VS2 (9.5kg) - Hàng Chính Hãng ,LG,5690000,3,38,0.151750713,0.848249287,114
214,Máy giặt Samsung 10 kg WA10J5710SG/SV ,Samsung,5490000,5,38.6,0.132489769,0.867510231,172
216,Máy giặt Electrolux Inverter 10kg EWF1042BDWA ,Electrolux,13189000,1,65.2,0.151750713,0.848249287,25
217,Máy Giặt Cửa Trên Sharp ES-W78GV-H (7.8kg) - Hàng Chính Hãng - Chỉ giao tại Hà Nội ,Sharp,3439000,2,29,0.178908177,0.821091823,85
218,Máy Giặt Cửa Trên Sharp ES-W90PV-H (9kg) - Hàng Chính Hãng - Chỉ giao tại Hà Nội ,Sharp,4490000,1,29,0.485523531,0.514476469,106
219,Máy giặt sấy Electrolux Inverter 11 kg EWW1141AEWA ,Electrolux,19990000,1,68.8,0.177357153,0.822642847,31
221,Máy Giặt LG Inverter 10.5 kg T2350VS2W Mẫu 2019 - Hàng Chính Hãng ,LG,5590000,2,38.6,0.103598354,0.896401646,64
223,Máy giặt AQUA AQW-S90CT (H2)  9.0kg (HÀNG CHÍNH HÃNG) ,Aqua,4559000,1,35.2,0.041636027,0.958363973,6
226,Máy Giặt Candy 8Kg GVS 148THC3/1-04 - Chỉ giao HCM ,Candy,6300000,1,65,0.151750713,0.848249287,26
228,Máy Giặt Cửa Trên Panasonic NA-F80VS9GRV (8kg) - Hàng Chính Hãng ,Panasonic,4990000,1,34,0.413653667,0.586346333,97
230,Máy Giặt Cửa Trên Inverter LG TH2722SSAK (22Kg) - Mẫu 2019 - Hàng Chính Hãng ,LG,15590000,2,70.4,0.684611154,0.315388846,175
231,Máy giặt Sharp 10.2 kg ES-W102PV-H - Chỉ giao HCM ,Sharp,4769000,1,37,0.280910517,0.719089483,60
232,Máy giặt Samsung Addwash Inverter 10 kg WW10K54E0UX/SV - Hàng Chính Hãng ,Samsung,10890000,1,65.6,0.201599615,0.798400385,36
233,Máy Giặt Cửa Trước Inverter Electrolux EWF1023BEWA (10kg) - Hàng Chính Hãng ,Electrolux,12959000,1,71,0.34711205,0.65288795,82
234,Máy giặt Toshiba Inverter 10 kg AW-DUH1100GV ,Toshiba,8949000,1,47,0.294559874,0.705440126,68
238,Máy Giặt Cửa Trước Samsung Inverter Addwash WW85K54E0 (8.5kg) - Hàng Chính Hãng ,Samsung,9870000,15,63,0.343601028,0.656398972,240
239,Máy Giặt Cửa Trước Inverter LG FV1450S3W (10.5kg) - Hàng Chính Hãng (Chỉ Giao Tại Hồ Chí Minh) ,LG,12123000,3,70.2,0.233970213,0.766029787,130
240,Máy giặt Electrolux Inverter 9.5 kg EWF9523ADSA ,Electrolux,12290000,1,71,0.328110452,0.671889548,75
244,Máy giặt Samsung 9 kg WA90J5710SG/SV ,Samsung,5190000,1,41,0.221548868,0.778451132,43
245,Máy giặt Aqua 7.2 kg AQW-S72CT ,Aqua,3590000,2,30,0.510711171,0.489288829,149
248,Máy giặt Samsung Inverter 9 kg WW90J54E0BW/SV ,Samsung,8190000,2,61,0.103598354,0.896401646,65
250,Máy Giặt Samsung Inverter 9.5 kg WW95J42G0BX/SV - Chỉ Giao HCM ,Samsung,9390000,6,61,0.479406301,0.520593699,208
252,Máy giặt Toshiba Inverter 9.5 kg TW-BH105M4V WK (HÀNG CHÍNH HÃNG) ,Toshiba,7751000,4,67,0.437396431,0.562603569,191
253,Máy giặt LG Inverter 9 kg FC1409S3W ,LG,9490000,38,62,0.297495993,0.702504007,257
