index,name,brand,price,number_of_comment,weight(kg),Negative,Positive,rank
257,Máy giặt Candy Inverter 8 kg GSV 138DH3-S ,Candy,6259000,1,56.4,0.151750713,0.848249287,27
261,Máy giặt Toshiba 9 kg AW-K1005FV(SG) - Chỉ giao HCM ,Toshiba,5590000,3,40,0.151750713,0.848249287,115
262,máy giặt đồ mini ,OEM,2145000,1,29.4,0.151750713,0.848249287,28
264,Máy giặt Toshiba Inverter 8.5 kg TW-BH95M4V - WK - Hàng Chính Hãng ,Toshiba,6959000,1,60,0.151750713,0.848249287,29
265,Máy giặt LG Inverter 8 kg FC1408S5W ,LG,7690000,53,62,0.284904821,0.715095179,261
266,Máy Giặt Samsung 10kg WA10J5710SW/SV ,Samsung,9299000,8,42,0.226401455,0.773598545,210
267,Máy giặt Aqua Inverter 8.5 kg AQD-D850E W Mẫu 2019 - HÀNG CHÍNH HÃNG ,Aqua,6990000,3,60,0.523613323,0.476386677,178
271,Máy Giặt Samsung WA10J5750SG/SV (10 Kg) - Hàng Chính Hãng ,Samsung,6469000,1,69,0.607011366,0.392988634,132
272,Máy Giặt Cửa Trước Samsung Inverter Addwash WW85K54E0 (8.5kg) - Hàng Chính Hãng ,Samsung,9870000,1,63,0.450552276,0.549447724,100
273,Máy giặt Electrolux Inverter 10kg EWF1042BDWA ,Electrolux,13189000,1,65.2,0.532202226,0.467797774,119
280,Máy giặt LG Inverter 9 kg FC1409S3W ,LG,9350000,13,61.8,0.273202657,0.726797343,231
282,Máy giặt Aqua Inverter 9 Kg AQW-DK90CT S ,Aqua,5690000,3,34,0.113117245,0.886882755,103
283,Máy Giặt Toshiba 9kg AW-G1000GV WG - Hàng Chính Hãng ,Toshiba,5089000,2,35.6,0.469235988,0.530764012,141
284,Máy giặt Electrolux Inverter 9 kg EWF12938 ,Electrolux,9890000,1,65,0.198923273,0.801076727,35
286,Máy giặt Electrolux EWF9025BQSA  9.0kg  Inverter (Model 2018)electrolux - Hàng Chính Hãng ,Electrolux,8739000,2,63.8,0.352484041,0.647515959,118
288,Máy giặt sấy AQUA AQD-DH1050C N  giặt 10.5kg  sấy 7kg  Inverter ( HÀNG CHÍNH HÃNG) ,Aqua,12490000,2,70.2,0.163658921,0.836341079,81
289,Máy giặt Toshiba Inverter 10 kg AW-DUH1100GV ,Toshiba,8990000,1,47,0.055445995,0.944554005,8
295,Máy giặt Panasonic Inverter 9 Kg NA-V90FX1LVT - HÀNG CHÍNH HÃNG ,Panasonic,13490000,1,65.8,0.132629534,0.867370466,11
296,Máy Giặt Cửa Trước Inverter Beko WTE 7512 XS0 (7kg) - Hàng chính hãng ,Beko,6790000,3,59,0.111215489,0.888784511,102
297,Máy Giặt Cửa Trước Samsung Inverter WW80J54E0 (8kg) - Hàng Chính Hãng ,Samsung,10200000,1,61,0.133548818,0.866451182,12
298,Máy giặt Panasonic 8.5 kg NA-F85A4HRV ,Panasonic,5490000,3,35,0.267157498,0.732842502,135
299,Máy Giặt Panasonic 9kg NA-F90X5LRV ,Panasonic,6590000,1,38,0.330770614,0.669229386,76
306,Máy giặt Samsung 9 kg WA90J5710SG/SV ,Samsung,5190000,3,41,0.284653652,0.715346348,140
312,Máy giặt Electrolux Inverter 9 kg EWF9024BDWB - Hàng Chính Hãng ,Electrolux,9090000,1,61.4,0.227744563,0.772255437,46
313,Máy giặt LG Inverter 11 kg TH2111SSAL -Hàng Chính Hãng ,LG,9390000,1,61.8,0.294614079,0.705385921,69
317,MÁY GIẶT 9KG KÈM SẤY 6KG LỒNG NGANG HAFELE HWD-F60A 533.93.100 - Hàng chính hãng ,HAFELE,22941200,1,70.4,0.269760118,0.730239882,56
321,Máy giặt Sharp 9.5 kg ES-W95HV-S - Chỉ giao HCM ,Sharp,4479000,1,37,0.225445975,0.774554025,45
324,Máy giặt Toshiba Inverter 11 kg AW-DUH1200GV ,Toshiba,8950000,2,47,0.200434129,0.799565871,89
325,Máy giặt Beko Inverter 8 kg WTV 8512 XS0 ,Beko,8290000,4,70,0.297547617,0.702452383,171
328,Máy giặt Toshiba 9 Kg AW-H1000GV SB ,Toshiba,5450000,1,39,0.216652248,0.783347752,41
330,Máy giặt Toshiba 9.5 Kg AW-UH1050GV DS ,Toshiba,6790000,1,42,0.252140408,0.747859592,51
332,Máy giặt Samsung Addwash Inverter 9 kg WW90K54E0UX/SV ,Samsung,10690000,3,63,0.190406341,0.809593659,121
337,Máy Giặt Sấy Cửa Trước Inverter LG F2721HTTV (21kg) - Hàng Chính Hãng ,LG,33890000,1,70.4,0.206673111,0.793326889,38
347,Máy giặt Toshiba Inverter 8.5 kg TW-BH95M4V(SK) - Hàng chính hãng ,Toshiba,7639000,2,66.8,0.336142372,0.663857628,117
352,Máy giặt Samsung 8.5 kg WA85M5120SW/SV ,Samsung,4899000,6,41,0.364676834,0.635323166,204
355,Máy giặt Panasonic 9 kg NA-F90A4GRV ,Panasonic,5890000,2,36,0.293992695,0.706007305,104
356,Máy giặt Electrolux Inverter 9 kg EWF9024BDWA ,Electrolux,9269000,3,58,0.207169258,0.792830742,124
358,Máy giặt Toshiba 9 Kg AW-H1000GV SB ,Toshiba,5580000,1,39,0.172488496,0.827511504,30
361,Máy giặt Electrolux Inverter 12 kg EWT1254DCWA ,Electrolux,7590000,4,59.2,0.315970657,0.684029343,173
376,Máy Giặt Panasonic 9.0 Kg NA-F90VS9DRV - Hàng Chính Hãng ,Panasonic,5350000,0,38.4,0.238863774,0.761136226,9
379,Máy giặt Panasonic Inverter 10 Kg NA-V10FX1LVT - hàng chính hãng ,Panasonic,16390000,1,70.4,0.350212975,0.649787025,83
384,Máy giặt Electrolux 10 kg EWF1023BESA .2019 ( hàng chính hãng) ,Electrolux,14299000,0,65.6,0.199120415,0.800879585,3
390,Máy giặt Electrolux Inverter 9 kg EWF9024ADSA - Hàng Chính Hãng ,Electrolux,9790000,3,65,0.307015179,0.692984821,144
401,Máy Giặt Cửa Trước Whirlpool WFRB802AHW (8kg) - Hàng chính hãng ,WHIRLPOOL,7990000,2,55,0.228623901,0.771376099,95
407,MÁY GIẶT LG 13 KG TH2113SSAK - Hàng Chính Hãng ,LG,10290000,3,57.2,0.209469495,0.790530505,126
408,Máy giặt LG Inverter 15.5 kg T2555VS2M ,LG,9640000,4,64.6,0.27494591,0.72505409,168
410,Máy Giặt AQUA 9.8 Kg AQD-D980AZT(W) - Hàng Chính Hãng ,Aqua,7659000,1,66.8,0.201810991,0.798189009,37
450,Máy Giặt Cửa Trước Inverter Aqua AQD-D950E (9.5kg) - Hàng Chính Hãng ,Aqua,7269000,1,80,0.181037813,0.818962187,32
452,Máy giặt Panasonic 11.5 kg NA-F115V5LRV ,Panasonic,9750000,1,65,0.262143643,0.737856357,55
463,Máy giặt Panasonic 10 kg NA-F100V5LRV ,Panasonic,8279000,1,38,0.297547617,0.702452383,71
464,Máy Sấy Cửa Ngang Candy GVC D813B-S (8.0 Kg) - Trắng - Hàng Chính Hãng ,Candy,8159000,1,56.6,0.277588245,0.722411755,59
466,Máy giặt Panasonic Inverter 9.5 Kg NA-FS95X7LRV ,Panasonic,8390000,3,40,0.284505495,0.715494505,139
500,Máy giặt sấy LG Inverter 10.5 kg FG1405H3W1 - Hàng Chính Hãng ,LG,20990000,1,70.4,0.269760118,0.730239882,57
513,Máy giặt Samsung 9.0 Kg Addwash WW90K44G0YW/SV - HÀNG CHÍNH HÃNG ,Samsung,9090000,1,63,0.227744563,0.772255437,47
515,Máy giặt Electrolux Inverter 8 kg EWF8024BDWA ,Electrolux,8529000,1,65,0.255357957,0.744642043,54
516,Máy Giặt Cửa Trước Inverter Electrolux EWF12938S (9kg) - Hàng Chính Hãng ,Electrolux,11500000,1,69.8,0.233773495,0.766226505,49
517,Máy Giặt PANASONIC INVERTER 11.5 Kg NA-FD11XR1LV - HÀNG CHÍNH HÃNG ,Panasonic,9890000,1,65,0.307769143,0.692230857,73
518,Máy giặt Electrolux EWF1023BEWA. màu trắng 10kg ( hàng chính hãng ) ,Electrolux,12959000,1,68.8,0.291739471,0.708260529,66
531,Máy giặt Candy Inverter 10 kg GVF1510LWHC3/1-S ,Candy,7390000,2,58,0.191059914,0.808940086,87
532,Máy giặt cửa trước INVERTER 10 5 KG AQUA AQD-D1050E N - HÀNG CHÍNH HÃNG ,Aqua,9250000,1,58,0.207169258,0.792830742,39
533,Máy Giặt Cửa Trước Samsung Inverter Addwash WW85K54E0UX-SV (8.5kg) HÀNG CHÍNH HÃNG + Tặng bình đun siêu tốc ,Samsung,9990000,1,66.4,0.215247181,0.784752819,40
534,Máy Giặt Cửa Ngang Inverter Electrolux EWF14023S (10.0Kg) - Xám Bạc - Hàng Chính Hãng ,Electrolux,14690000,2,70,0.306856591,0.693143409,107
536,Máy giặt Electrolux Inverter 9 kg EWF12938 ,Electrolux,10900000,2,65.6,0.224319397,0.775680603,92
543,Máy giặt Electrolux Inverter 9.5 kg EWF9523BDWA ,Electrolux,11190000,1,71,0.233773495,0.766226505,50
,,,14676000,6.8,62,0.272653432,0.727346568,207
