index,name,price,number_of_comment,pin,brand,front_cam,rear_cam,weight,RAM,screen_size,comment
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Tiki trading luôn tin tưởng  Nhưng vừa rồi đã giải quyết vụ airpods 2 của 1 bạn bên tinhte không êm  nên cũng e ngại Hy vọng tiki trading luôn buôn bán hàng đúng chăt và giải quyết phát sinh ổn hơn
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Mua xong điện thoại thì mới nhận được tin các nhà mạng sắp cắt 2G điện thoại sẽ thành cục gạch một ngày không xa Mọi người cần lưu ý trước khi mua nhé
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Sản phẩm đầy đủ phụ kiện điện thoại sóng khỏe pin trâu Giao hàng rất nhanh Hôm trước đặt hàng hôm sau đã giao lại gặp a giao hàng vui tính nhiệt tình 5 sao
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Phiên bản 2019 này font chữ nhỏ hơn và nút bấm khó thao tác hơn phiên bản cũ Mình dùng không quen và thấy đây là một bước lùi của dòng sản phẩm này
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,sản phẩm y như trong hộp nhưng không có tai nghe và trong ứng dụng trò chơi có một số ứng dụng không nên có Nói chung là tốt
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Thật sự sốc khi sử dụng không đến một tuần Mình đã và đang sử dụng dòng này mua oét FPT vì có việc nên đặt về nhà và rất tức giận
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Máy đẹp nguyên seal Tuy nhiên đóng gói ko cẩn thận lắm nên vỏ hộp bị bẹp Máy đời mới giao diện hơi xấu hơn so với 105 đời cũ
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,trước mắt tạm ổn chưa có vấn đề gì đáng kể nhưng  vỏ chưa được chắc chắn lắm nhìn mỏng manh quá rớt chắc là banh còn phần máy tạm thời on
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Sau hơn 10 ngày dùng máy mình thấy rất ổn Pin trâu từ bữa mua chưa sạc lại Do mình nghe gọi ít Recommend
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Kute phô mai que nhưng hơi tiếc là ko cho tự điều chỉnh cài đặt các nút chức năng theo ý mình nên hơi khó khăn 
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Màu hồng trên hình đẹp nhưng hàng thực tế là vỡ mộng đấy Nhìn bên ngoài màu tươi tắn nữ tính hơn
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Hàng chính hãng Nokia chức năng tốt y như Nokia ngày xưa Pin để cả tuần mà vẫn chưa cạn 2 Sim nghe gọi thoải mái Chất lượng quá tốt cho giá tiền
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Hàng nguyên seal ok mà sao ko thấy phiếu bảo hành or sms bảo hành điện tử
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Tiki hỗ trợ bảo hành giúp mình vì hiện trạng loa trong rất nhỏ đàm thoại phải mở loa ngoài mới nghe rõ
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Mới nhận được hôm quadùng thấy tốtpin khỏenghe gọi rõphím bấm thíchhi vọng là bền 
