,index,name,brand,price,number_of_comment,weight(g),camera(mp),Negative,Positive,rank
34,34,Máy Ảnh Canon IXUS 190 - Hàng Chính Hãng - Đen,Canon,3990000.0,4.0,375.4,90.2,0.24272649847814418,0.7572735015218557,162
35,35,Máy ảnh Sony Cybershot DSC-W830 - Hàng chính hãng,Sony,2590000.0,3.0,165.6,90.2,0.11972902838966826,0.8802709716103316,147
36,36,Máy Ảnh Canon 6D Body (Lê Bảo Minh) - Hàng Chính Hãng,Canon,22990000.0,13.0,750.0,202.0,0.23172548847292132,0.7682745115270786,173
37,37,Máy Ảnh Canon EOS 800D KIT 18-55mm - Hàng Chính Hãng,Canon,15990000.0,0.0,532.0,174.2,0.5,0.5,111
38,38,Đồ chơi Máy ảnh mini kỹ thuật số cho trẻ em,OEM,170000.0,3.0,305.4,90.2,0.35624349783022136,0.6437565021697786,160
39,39,Máy Ảnh Sony Alpha A6600 - Hàng Chính Hãng,Sony,29990000.0,1.0,481.4,196.4,0.17802445442110554,0.8219755455788944,26
40,40,Máy Ảnh Canon 77D + Lens 18-55mm IS STM - Hàng Chính Hãng,Canon,19990000.0,4.0,540.0,230.0,0.23218627275537568,0.7678137272446243,125
41,41,Máy Ảnh Canon EOS R Body - Hàng Chính Hãng,Canon,40990000.0,1.0,660.0,266.0,0.15213554982749167,0.8478644501725082,4
42,42,Máy Ảnh Fujifilm X-S10 Body - Hàng Chính Hãng,Fujifilm,22990000.0,0.0,446.4,196.6,0.5,0.5,83
43,43,Máy Ảnh Fujifilm X-T20 (24.3MP) + Lens 15-45mm - Hàng Chính Hãng,Fujifilm,19190000.0,0.0,468.8,230.0,0.5,0.5,60
44,44,Hộp Phim Fujifilm Instax Mini Square (20 Tấm) - Hàng Chính Hãng,Fujifilm,550000.0,7.0,305.4,90.2,0.3999949097605397,0.6000050902394604,171
45,45,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III - Hàng Chính Hãng (Tặng Kèm Thẻ Nhờ Và Túi Đựng Máy Ảnh),Canon,7800000.0,2.0,436.0,234.4,0.14158142829922432,0.8584185717007757,27
46,46,Máy ảnh Ricoh GR III (Hàng Chính Hãng), Ricoh,21490000.0,0.0,429.4,230.0,0.5,0.5,61
47,47,Máy Ảnh Fujifilm X-T20 (24.3MP) + Lens 16-50mm - Hàng Chính Hãng,Fujifilm,19190000.0,3.0,495.2,230.0,0.3618241193868481,0.638175880613152,123
48,48,Máy chụp hình mini Kỹ thuật số cho bé Promax Baby Cute Cartoon Gifts (Hàng nhập khẩu),Promax,299000.0,2.0,305.4,90.2,0.36135591964612856,0.6386440803538713,150
49,49,Máy Ảnh Fujifilm X-S10 + Lens 18-55mm - Hàng Chính Hãng,Fujifilm,31990000.0,0.0,501.6,278.0,0.5,0.5,23
50,50,Máy Ảnh Sony A7R II - Hàng Chính Hãng,Sony,38000000.0,2.0,582.0,424.0,0.43475065597996326,0.5652493440200368,5
51,51,Canon EOS 5DS Body (Lê Bảo Minh) - Hàng Chính Hãng,Canon,78000000.0,0.0,845.0,506.0,0.5,0.5,1
52,52,Máy in ảnh Mini Canon PV-123 Xám-Hàng chính hãng,Canon,990000.0,0.0,305.4,90.2,0.5,0.5,129
53,53,Máy Ảnh Sony RX100 III (Chính Hãng),Sony,14990000.0,2.0,263.0,201.0,0.29239182465076774,0.7076081753492324,110
54,54,Máy Ảnh Fujifilm X-T100 + Lens 15-45mm (24.2MP) - Hàng Chính Hãng,Fujifilm,15490000.0,35.0,448.0,242.0,0.2977422013998864,0.7022577986001138,192
55,55,Máy Ảnh Sony HDR-CX405 - Hàng Chính Hãng,Sony,5690000.0,0.0,190.0,137.8,0.5,0.5,116
56,56,Máy Ảnh Selfie Lấy Liền Fujifilm Instax Mini 9 Clear Purple - Hàng Chính Hãng,Fujifilm,1499000.0,7.0,307.0,90.2,0.16178688476406394,0.838213115235936,169
57,57,Máy Ảnh Sony Alpha A6600 + 18-135mm - Hàng Chính Hãng,Sony,37990000.0,0.0,552.4,266.0,0.5,0.5,32
58,58,Máy Ảnh Canon PowerShot SX430 IS (Tặng Kèm Thẻ Nhớ Và Túi Đựng Máy Ảnh) - Hàng Chính Hãng,Canon,4800000.0,1.0,295.4,90.2,0.46339791475364855,0.5366020852463514,149
59,59,Máy Ảnh Mini Chụp Hình Cho Bé Loại Cao Cấp 2019,OEM,239000.0,4.0,305.4,90.2,0.281439287834808,0.718560712165192,164
60,60,Máy Ảnh Canon EOS RP Body (Chính Hãng Lê Bảo Minh),Canon,39000000.0,0.0,485.0,262.0,0.5,0.5,41
61,61,Máy Ảnh Mini Cho Bé Kèm Thẻ Nhớ 32G - Máy Chụp Hình Mini (Giao Mẫu Ngẫu Nhiên),OEM,338000.0,7.0,305.4,90.2,0.2702390460436905,0.7297609539563095,170
62,62,Máy Ảnh Sony DSC-RX0 Mark II - Hàng Chính Hãng,Sony,12500000.0,0.0,132.0,234.4,0.5,0.5,58
63,63,Máy Ảnh Fujifilm X-T100 Body (24.2MP) - Hàng Chính Hãng,Fujifilm,12490000.0,0.0,448.0,242.0,0.5,0.5,56
