index,name,price,number_of_comment,brand,CPU,hardware_size,RAM,resolution,display,comment
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Rất ổn
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,good
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Sản phẩm chính hãng mã SA hàng nguyên seal mình mua có giảm giá 1212 còn 29tr2 Mua về các bạn gọi lên tổng đài để kích hoạt chờ rất lâu tầm 5p mới có ng hỗ trợ Giao hàng hoie lâu tí nhưng mà mọi thứ ổn đáng mua nếu ngày sale
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Mình nhận hàng thì băng dính dán hộp đã bị rạch hộp xộc xệch chỉ dán miếng tem hàng dễ vỡ ở trên cũng may sản phẩm không bị rạch seal và trùng serial trên hoá đơn Mình k hiểu sao một sản phẩm đắt tiền lại có thể bị đóng gói cẩu thả như vậy Lần đầu tiên thất vọng vì đóng gói của tiki như vậy
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Giao hàng nhanh  máy nguyên seal  đẹp mới tanh  phục vụ rất okla cảm thấy hài lòng mua nhiều lần đồ đắt tiền của Tiki vô cùng yên tâm Chỉ có điều máy chưa active k biết ngày mua bn để nhạp mở trên apple bảo hành
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Sản phẩm chính hãng giao hàng nhanh Đặt niềm tin tiki trading là sự lựa chọn đúng đắn
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,yêu cầu tiki nhanh chóng xử lý đổi trả sp k thể mở được mặc dù đã liên hệ apple xử lý vẫn k mở được
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Vừa buổi sáng áp mã giảm giá giảm từ 33 tr xuống còn 32 tr xong tối thấy giảm giá còn 32 tr  xong áp mã giảm giá còn 31 tr
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Hàng chuẩn Giao nhanh vèo vèo Lần đầu mua đơn hàng giá trị cao trên Tiki Rất hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Hàng giao nhanh đóng gói cực cẩn thận mọi người cứ an tâm mua sắm nhé
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,hàng saa chuẩn cơ mà check serial number thì vẫn báo chưa valid purchase date
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Sản phẩm tốt chính hãng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Hàng chính hãng giao 23h siêu nhanh luôn Full box new 100
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Đúng thông số đã đăng trên website
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Hàng SAA máy đẹp tạm thời ổn
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Sản phẩm tuyệt vời
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Nhận máy ok Mượt đẹp
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Cực kì hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Bình thường
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Cực kì hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Cực kì hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Hàng chính hãng giao 23h siêu nhanh luôn Full box new 100
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Đúng thông số đã đăng trên website
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Hàng SAA máy đẹp tạm thời ổn
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Sản phẩm tuyệt vời
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Nhận máy ok Mượt đẹp
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Cực kì hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Bình thường
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Cực kì hài lòng
5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,31299000,29,Apple,14GHz quadcore 8thgeneration Intel Core i5 processor,256,8,,13 ,Cực kì hài lòng
6,Apple Macbook Pro 2020 M1 - 13 s (Apple M1/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng ,33999000,6,Apple,Apple M1 chip 8core CPU with 4 performance cores and 4 efficiency cores 8core GPU 16core Neural Engine,256,8,,,Chất lượng máy tuyệt vời chạy rất êm mát pin có thể dùng tới 2 ngày Tiki giao hàng nhanh chóng tuy nhiên đóng gói hơi sơ sài so với đồ dễ vỡ và có giá trị cao Shipper giao hàng rất ẩu để gói hàng lên nắp thùng xe mà chạy lúc giao tới máy xém rớt chỉ cần thắng gấp là gói hàng bay xuống đất liền Hình ảnh kèm theo Đề nghị tiki làm việc lại với đội ngũ shipper giao hàng thì có trách nhiệm với hàng hoá của khách
6,Apple Macbook Pro 2020 M1 - 13 s (Apple M1/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng ,33999000,6,Apple,Apple M1 chip 8core CPU with 4 performance cores and 4 efficiency cores 8core GPU 16core Neural Engine,256,8,,,Hàng nguyên seal giá cạnh rẻ hơn nhiềunơi giao hàng nhanh mới mua hôm qua hôm nay có luôn dù dự kiến hơn 1 tuần mới giao
6,Apple Macbook Pro 2020 M1 - 13 s (Apple M1/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng ,33999000,6,Apple,Apple M1 chip 8core CPU with 4 performance cores and 4 efficiency cores 8core GPU 16core Neural Engine,256,8,,,Giao hàng nhanh máy đẹp chất lượng dịch vụ tuyệt vời 
6,Apple Macbook Pro 2020 M1 - 13 s (Apple M1/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng ,33999000,6,Apple,Apple M1 chip 8core CPU with 4 performance cores and 4 efficiency cores 8core GPU 16core Neural Engine,256,8,,,giao hang nhanh bât ngơ măc du k phai tiki nao
6,Apple Macbook Pro 2020 M1 - 13 s (Apple M1/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng ,33999000,6,Apple,Apple M1 chip 8core CPU with 4 performance cores and 4 efficiency cores 8core GPU 16core Neural Engine,256,8,,,Giao nhanh
6,Apple Macbook Pro 2020 M1 - 13 s (Apple M1/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng ,33999000,6,Apple,Apple M1 chip 8core CPU with 4 performance cores and 4 efficiency cores 8core GPU 16core Neural Engine,256,8,,,hàng LLA giá trừ KM quá tốt
7,Laptop Lenovo Ideapad S145-14API-81UV008GVN (AMD R3-3200U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng ,8199000,25, Lenovo, AMD Ryzen 3 3200U,256,4,Full HD 1920 x 1080,14 ,Lần nào cũng phải trừ sao vì khâu đóng gói quá ẩu Mặt hàng điện tử nhưng ko thèm bọc chống sốc chỉ bóc bên ngoài 1 lớp bìa mỏng và quấn vài lớp giấy bóng  Tình trạng đóng gói ẩu liên tục 2 năm nay rồi Phản ảnh đến Tiki nhiều lần mà vẫn vậy Giá bán thì có rẻ hơn nhiều nơi khác Nhưng máy đã được kích hoạt bảo hành suốt từ tháng 22020 Tính ra chỉ còn bảo hành chính hãng 4 tháng và 8 tháng còn lại thì do bên TiKi bảo hành Về thông số cấu hình giống như quảng cáo Chất lượng khá ổn Chạy ổ SSD nên máy khởi động nhanh chưa đến 1 là khởi động xong Mới dùng các tác vụ như lướt web xem youtube thì máy chạy mượt Camera thì kém khi dùng để gọi zalo Lúc đầu khởi động máy lên Phải đăng ký tài khoản hơi lằng nhằng mới chạy được Nếu ai không rành mây tính thì chắc chắn phải thuê thợ đến thì máy mới hoạt động đc
7,Laptop Lenovo Ideapad S145-14API-81UV008GVN (AMD R3-3200U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng ,8199000,25, Lenovo, AMD Ryzen 3 3200U,256,4,Full HD 1920 x 1080,14 ,đóng gói kỹ giao hàng nhanh còn độ bền thì phải chờ thời gian nhưng không thấy tặng theo phụ kiện gì ngoai cuc sac với lại  vê phai mất thêm 200000 tiền cài đặt nữa
7,Laptop Lenovo Ideapad S145-14API-81UV008GVN (AMD R3-3200U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng ,8199000,25, Lenovo, AMD Ryzen 3 3200U,256,4,Full HD 1920 x 1080,14 ,đã kích hoạt bảo hành từ tháng 4 thế củng bảo là 100 xin mời liên hệ nhận lại dùm bán buôn kiểu lươn lẹo
7,Laptop Lenovo Ideapad S145-14API-81UV008GVN (AMD R3-3200U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng ,8199000,25, Lenovo, AMD Ryzen 3 3200U,256,4,Full HD 1920 x 1080,14 ,Tại sao tôi mua máy mới mà bảo hành bắt đầu từ 03042020 Làm ăn gian dối
7,Laptop Lenovo Ideapad S145-14API-81UV008GVN (AMD R3-3200U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng ,8199000,25, Lenovo, AMD Ryzen 3 3200U,256,4,Full HD 1920 x 1080,14 ,Máy rất nhẹ và đẹp Bên ngoài đẹp hơn với các vân trên vỏ máy không phải đen thui
