,index,name,number_of_comment,brand,Negative,Positive,price,pin(mAh),weight(g),screen_size(inch),rank_point,rank
34,35,Điện Thoại Masstel IZI 300 - Hàng Chính Hãng ,2,Masstel,0.23621372811876784,0.763786271881232,325000.0,2500.0,144.2,2.4,1.527572543762464,78
35,36,Điện Thoại Dành Cho Người Cao Tuổi iTel 2590 - Pin Trâu - Loa To - Sóng Khỏe - Hàng Chính Hãng ,2,Itel,0.14951814381172512,0.8504818561882748,465000.0,1810.0,137.0,2.154,1.7009637123765495,72
36,37,Điện Thoại THTphone F6 ,4,THT,0.13328474233387272,0.8667152576661273,279000.0,1560.2,172.6,2.148,3.4668610306645093,63
37,38,Điện Thoại Mobell ROCK 3 - Hàng Chính Hãng ,8,Mobell,0.19619398045713685,0.803806019542863,489000.0,5000.0,166.0,2.4,6.430448156342904,87
38,39,Điện Thoại Suntek Vicool V5 - Hàng Chính Hãng ,6,Suntek,0.4632266522683439,0.5367733477316561,399000.0,1000.0,119.0,2.4,3.2206400863899365,46
39,40,Nokia 110 Dual Sim (2019) - Xanh - Hàng chính hãng ,4,Nokia,0.22594379963301622,0.7740562003669837,455000.0,800.0,140.0,2.2800000000000002,3.096224801467935,38
40,41,Điện thoại trẻ em MKIDS - Hàng chính hãng của Viettel ,23,Viettel,0.2716982581954819,0.7283017418045179,400000.0,1780.2,156.8,2.4799999999999995,16.75094006150391,54
41,42,Điện Thoại Di Động Forme L6 Hồng - Hàng Chính Hãng ,12,Forme,0.19545800743751726,0.8045419925624827,345000.0,1500.0,116.4,1.848,9.654503910749792,55
42,43,Điện Thoại Bavapen B28 - Hàng Chính Hãng ,14,Bavapen,0.21918534444357904,0.780814655556421,250000.0,1200.0,129.0,2.4,10.931405177789895,39
43,44,Điện thoại Forme Duos 1900  màn hình 2.8inch  pin 1900mAh  font chữ lớn - Phân phối chính hãng ,7,Forme,0.07276868920480598,0.927231310795194,310000.0,1900.0,250.0,2.0220000000000002,6.4906191755663585,67
44,45,Điện Thoại Di Động Forme Gorilla - Hàng Chính Hãng ,4,Forme,0.12113044256805879,0.8788695574319412,299000.0,2400.0,172.6,2.022,3.5154782297277647,75
45,47,Điện thoại di động GSM Maxx N6610 màn hình 2.4 inch - Hàng Nhập Khẩu ,14,MAXX,0.36313567376655254,0.6368643262334475,199000.0,980.0,136.4,1.8960000000000001,8.916100567268264,33
46,48,Điện Thoại Mobell C206 - Hàng Chính Hãng ,14,Mobell,0.2615868488590143,0.7384131511409857,179000.0,800.0,136.4,1.8960000000000001,10.3377841159738,25
47,49,Điện Thoại Masstel iZi 100 - Hàng Chính Hãng ,51,Masstel,0.19581833822590225,0.8041816617740978,199000.0,800.0,125.0,1.77,41.01326475047899,10
48,50,Điện thoại Masstel IZI 200 - Hàng Chính Hãng ,2,Masstel,0.3339440527279308,0.6660559472720691,210000.0,1000.0,89.0,2.4,1.3321118945441381,50
49,51,Điện Thoại Suntek Nomu U1 - Hàng Chính Hãng ,2,Suntek,0.6293853018879114,0.3706146981120886,999000.0,1700.0,138.0,2.0,0.7412293962241772,68
50,52,Điện thoại Forme A1  siêu nhỏ gọn  đèn led 7 màu theo nhạc - Hàng chính hãng ,2,Forme,0.12575536963738662,0.8742446303626135,325000.0,1050.0,144.2,2.028,1.748489260725227,52
51,54,Điện Thoại Suntek Vicool V5 Bold 2 Sim - Hàng Chính Hãng ,2,Suntek,0.2669558984626426,0.7330441015373574,399000.0,1200.0,150.0,2.4,1.4660882030747149,56
52,55,Điện Thoại Masstel Fami 9 - Hàng Chính Hãng - Xanh ,3,Masstel,0.2489470543624094,0.7510529456375904,319000.0,1790.0,144.2,2.028,2.253158836912771,71
53,56,Điện thoại di động GSM Vtel C2 - Hàng chính hãng ,10,Vtel,0.1444180100222216,0.8555819899777782,195000.0,980.0,136.4,1.8960000000000001,8.555819899777783,34
54,57,Điện thoại di động GSM Vtel A1 - Hàng chính hãng ,17,Vtel,0.385796337401701,0.6142036625982988,159000.0,840.0,136.4,1.8960000000000001,10.441462264171081,27
55,59,Điện thoại di động GSM Vtel C1 - Hàng chính hãng ,8,Vtel,0.13207373574552203,0.8679262642544778,179000.0,840.0,136.4,1.8960000000000001,6.943410114035823,31
56,60,Điện thoại Masstel Fami 12 - Hàng Chính Hãng ,2,Masstel,0.2750641870069369,0.7249358129930634,330000.0,1000.0,125.0,1.77,1.4498716259861268,48
57,61,Điện Thoại Masstel Fami S2 - Hàng Chính Hãng ,5,Masstel,0.20136723473661275,0.7986327652633871,436000.0,1450.0,140.0,2.0,3.993163826316936,59
58,62,Điện Thoại Di Động Forme Gorilla Coffee - Hàng Chính Hãng ,3,Forme,0.109894568690099,0.8901054313099009,299000.0,2400.0,172.6,2.022,2.670316293929703,76
59,64,Điện Thoại Di Động Forme D555+ - Hàng Chính Hãng ,3,Forme,0.08729723079554817,0.9127027692044519,290000.0,1800.0,172.6,2.148,2.7381083076133557,70
60,65,Điện Thoại Masstel Izi 120 - Hàng Chính Hãng ,16,Masstel,0.30566307071804194,0.6943369292819582,219999.0,800.0,114.0,1.77,11.109390868511332,24
61,66,Điện thoại Forme M5  màn hình 1.8inch  loa nhạc lớn  font chữ lớn - Hàng chính hãng ,1,Forme,0.14951814381172512,0.8504818561882748,275000.0,2500.0,200.0,2.148,0.8504818561882748,79
62,67,Điện Thoại Masstel Lux Mini - Hàng Chính Hãng ,4,Masstel,0.13250796027101758,0.8674920397289824,359000.0,800.0,61.0,1.5,3.4699681589159295,36
63,68,Điện thoại Forme U30  màn hình 1.8inch  pin 1500mAh - Hàng chính hãng ,3,Forme,0.08087369086256514,0.9191263091374348,210000.0,1500.0,200.0,1.8959999999999997,2.7573789274123044,60
64,69,Điện Thoại Di Động Forme F1 - Hàng Chính Hãng ,4,Forme,0.22184260466058828,0.7781573953394118,275000.0,1800.0,172.6,2.148,3.112629581357647,69
65,70,Điện thoại di động GSM Vtel V1 - Hàng chính hãng ,1,Vtel,0.3210558822518083,0.6789441177481917,229000.0,980.0,136.4,1.8959999999999997,0.6789441177481917,49
66,71,Điện Thoại Di Động Forme Gorilla Green - Hàng Chính Hãng ,2,Forme,0.09072876318448751,0.9092712368155125,299000.0,2400.0,172.6,2.022,1.818542473631025,77
67,72,Điện Thoại Mobell M217 - Hàng Chính Hãng ,8,Mobell,0.2562657097560673,0.7437342902439327,189000.0,800.0,136.4,1.8960000000000001,5.949874321951461,32
68,73,Điện Thoại M-Power M81 - Hàng Chính Hãng ,4,Suntek,0.36360648585968897,0.6363935141403111,259000.0,4700.2,129.0,2.022,2.5455740565612444,85
69,74,Điện Thoại Di Động Forme A5 - Hãng phân phối chính hãng ,1,Forme,0.15181605982269958,0.8481839401773006,335000.0,1200.0,106.4,2.028,0.8481839401773006,57
70,75,Điện Thoại M-Power A18Mini - Hàng Chính Hãng ,10,M-Power,0.25091342160593777,0.7490865783940621,279000.0,1.0,88.0,1.77,7.490865783940621,16
71,76,Điện Thoại THTphone A1 ,5,THT,0.4735648647185654,0.5264351352814346,279000.0,1560.2,172.6,2.148,2.632175676407173,64
72,77,Điện thoại Forme D10  MÀN HÌNH 2.0inch  CHỨC NĂNG GỌI KHẨN CẤP SOS  LOA TO  FONT CHỮ LỚN  PHÍM SỐ LỚN  FM KHÔNG DÂY - Hàng chính hãng ,1,Forme,0.14951814381172512,0.8504818561882748,335000.0,2700.0,106.4,2.028,0.8504818561882748,81
