,index,name,number_of_comment,brand,Negative,Positive,price,pin,rear_cam,front_rear,weight,RAM,screen_size,rank_point,rank
28,28,Điện Thoại iPhone 11 64GB - Hàng Nhập Khẩu ,48,Apple,0.2658991644833813,0.7341008355166193,15350000.0,3.11,16.125,12.0,194.0,4.0,6.0,35.23684010479773,54
29,29,Điện Thoại Realme 6 (8GB/128GB) - Hàng Chính Hãng ,131,Realme,0.18924557906470793,0.8107544209352937,4590000.0,4.3,64.0,16.0,191.0,8.0,6.45875,106.20882914252347,29
30,30,Điện Thoại Vsmart Joy 3 - Hàng chính hãng ,500,Vsmart,0.27951973092179094,0.7204802690782093,2290000.0,5.0,13.0,8.0,192.0,2.0,6.5,360.24013453910464,4
31,31,Điện thoại Vsmart Star 4 (2GB/16GB) - Hàng chính hãng ,39,Vsmart,0.1387774946148701,0.8612225053851297,1750000.0,3.5,8.0,8.0,165.0,2.0,6.09,33.58767771002006,50
32,32,Điện Thoại Vsmart Live 4 (6GB/64GB) - Hàng Chính Hãng ,342,Vsmart,0.17981657060966028,0.8201834293903363,3790000.0,5.0,48.0,13.0,217.0,6.0,6.5,280.502732851495,8
33,33,Điện Thoại iPhone 12 Mini 64GB - Hàng Chính Hãng ,26,Apple,0.23700278046534104,0.7629972195346588,18990000.0,3.6049999999999995,12.0,12.0,135.0,4.0,5.4,19.83792770790113,66
34,34,Điện Thoại Oppo A53 2020 (4GB/128GB) - Hàng Chính Hãng ,49,OPPO,0.16442901891778763,0.8355709810822125,3850000.0,5.0,16.0,16.0,186.0,4.0,6.5,40.942978073028414,48
35,35,Điện thoại Xiaomi POCO X3 - Hàng Chính Hãng ,101,Xiaomi,0.19655742048384434,0.8034425795161575,5250000.0,5.16,64.0,20.0,215.0,6.0,6.13,81.1477005311319,34
36,36,Điện Thoại iPhone 12 Mini 128GB - Hàng Chính Hãng ,22,Apple,0.21301929493646743,0.7869807050635321,20250000.0,3.4762500000000003,12.0,12.0,135.0,4.0,5.4,17.31357551139771,71
37,37,Điện Thoại Samsung Galaxy A01 (2GB/16GB) - Hàng Chính Hãng ,135,Samsung,0.2080309608426375,0.7919690391573636,2290000.0,3.0,13.0,5.0,149.0,2.0,5.7,106.91582028624408,24
38,38,Điện Thoại Samsung Galaxy Note 20 (8GB/256GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,80,Samsung,0.21295066614668792,0.7870493338533129,14990000.0,4.3,64.0,10.0,192.0,8.0,6.7,62.96394670826503,39
39,39,Điện Thoại Realme C11 (2GB/32GB) - Hàng Chính Hãng ,11,Realme,0.14448769290108704,0.8555123070989129,2479000.0,5.0,13.0,5.0,196.0,2.0,6.5,9.410635378088042,70
40,40,Điện Thoại Vivo Y20 - Hàng Chính Hãng ,6,Vivo,0.13024515954728497,0.869754840452715,3590000.0,5.0,13.0,8.0,192.0,4.0,6.5,5.21852904271629,76
41,41,Điện Thoại Samsung Galaxy Note 20 Ultra (8GB/256GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,63,Samsung,0.23199659496325792,0.7680034050367434,19950000.0,4.5,108.0,10.0,208.0,8.0,6.9,48.38421451731483,55
42,42,Điện Thoại Samsung Galaxy A20s - Hàng Chính Hãng ,184,Samsung,0.20382531471179352,0.7961746852882051,3790000.0,4.0,13.0,8.0,196.125,3.0,6.5,146.49614209302973,18
43,43,Điện Thoại Samsung Galaxy Note 20 Ultra (256GB/8GB) - Hàng Chính Hãng ,85,Samsung,0.2234497178479867,0.7765502821520148,27990000.0,4.5,108.0,10.0,208.0,8.0,6.9,66.00677398292126,45
44,44,Điện Thoại OPPO Reno 2F (8GB/128G) - Hàng Chính Hãng ,68,OPPO,0.24861469226304958,0.7513853077369514,5550000.0,4.0,48.0,16.0,195.0,8.0,6.5,51.0942009261127,47
45,45,Điện Thoại Oppo A12 (3GB/32GB) - Hàng Chính Hãng ,60,OPPO,0.15285338603604712,0.8471466139639536,2690000.0,4.23,13.0,5.0,165.0,3.0,6.22,50.82879683783722,38
46,46,Điện Thoại Samsung Galaxy A51 (6GB/128GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,425,Samsung,0.21159873168359838,0.7884012683164013,5990000.0,4.0,48.0,32.0,172.0,6.0,6.5,335.0705390344706,6
47,47,Điện Thoại Vsmart Bee 3 (2GB/16GB) - Hàng Chính Hãng ,114,Vsmart,0.2140514647073289,0.7859485352926726,1390000.0,3.0,8.0,5.0,170.0,2.0,6.0,89.59813302336468,30
48,48,Điện thoại Xiaomi Redmi Note 9 (4GB/128GB) - Hàng chính hãng ,74,Xiaomi,0.21628574158888791,0.783714258411113,4490000.0,5.02,48.0,13.0,199.0,4.0,6.53,57.99485512242236,41
49,49,Điện Thoại iPhone 11 128GB - Hàng Nhập Khẩu ,28,Apple,0.2642810665838614,0.7357189334161386,17900000.0,3.11,30.5,12.0,194.0,4.0,6.0,20.60013013565188,72
50,50,Điện Thoại Oppo Reno 10x Zoom Edition - Hàng Chính Hãng ,76,OPPO,0.16864914837513242,0.8313508516248689,9650000.0,4.065,48.0,16.0,210.0,8.0,6.6,63.182664723490035,40
51,51,Điện Thoại Nokia 2.4 (2GB/32GB) - Hàng Chính Hãng ,56,Nokia,0.2139511000165479,0.7860488999834525,2250000.0,4.5,13.0,5.0,189.0,3.0,6.5,44.01873839907334,44
52,52,Điện Thoại iPhone SE 64GB ( 2020) - Hàng NHập Khẩu ,42,Apple,0.2553512988608999,0.7446487011391004,10100000.0,3.758125,12.0,7.0,148.0,3.0,4.0,31.275245447842217,56
53,53,Điện Thoại iPhone 12 Pro (6GB/512GB) - Hàng Chính Hãng ,6,Apple,0.1423204688572624,0.8576795311427375,36990000.0,3.6186249999999998,12.0,12.0,189.0,6.0,6.1,5.1460771868564255,91
