,index,name,brand,price,number_of_comment,hardware_size(GB),RAM(GB),display(inch),Negative,Positive,rank
22,22,Laptop Asus VivoBook 15 A515EA-BQ489T (Core i3-1115G4/ 4GB DDR4 3200MHz Onboard/ 512GB SSD M.2 PCIE G3X4/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Asus,12999000.0,5.0,512.0,4.0,15.6,0.16203446146230122,0.8379655385376988,103
23,23,Laptop Dell Vostro 5590 V5590A (Core i7-10510U/ 8GB DDR4 2666MHz/ 256GB PCIe NVMe/ MX250 2GB/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Dell,21219000.0,7.0,256.0,8.0,15.6,0.25711627432298356,0.7428837256770165,194
24,24,Laptop Dell Inspiron 5593 7WGNV1 Core i5-1035G1/ Win10 (15.6 FHD) - Hàng Chính Hãng ,Dell,17190000.0,19.0,512.0,8.0,15.6,0.17608881987769867,0.8239111801223016,116
25,25,Laptop Dell Vostro 3590 GRMGK2 (Core i7-10510U/ 8GB DDR4 2666MHz/ 256GB SSD M.2 PCIe/ AMD R610 2GB/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Dell,18699000.0,4.0,256.0,8.0,15.6,0.33598034436136626,0.6640196556386337,174
26,26,Laptop HP Pavilion x360 14-dw0060TU 195M8PA (Core i3-1005G1/ 4GB DDR4 3200MHz/ 256GB PCIe NVMe/ 14 FHD IPS Touch/ Win10) - Hàng Chính Hãng ,HP,13259000.0,3.0,256.0,4.0,14.0,0.14995900680293864,0.8500409931970615,201
27,27,Laptop Asus ZenBook UX325EA-EG079T (Core i5-1135G7/ 8GB LPDDR4X 3200MHz/ 256GB SSD M.2 PCIE G3X2/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng ,Asus,20799000.0,5.0,256.0,8.0,13.3,0.2587422758338361,0.7412577241661641,197
28,28,Laptop ASUS TUF Gaming A15 FA506IU-AL127T (AMD Ryzen 7 4800H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1660Ti 6GB GDDR6/ 15.6 FHD IPS  144Hz/ Win10) - Hàng Chính Hãng ,Asus,25499000.0,4.0,512.0,8.0,15.6,0.17538854286000963,0.8246114571399904,94
29,29,Laptop Asus 14 X409JA-EK283T (Core i3-1005G1/ 4GB DDR4 2400MHz/ 256GB SSD M.2 PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng ,Asus,9999000.0,5.0,256.0,4.0,14.0,0.11102797102562652,0.8889720289743736,206
30,30,Laptop Dell Gaming G3 3500 70223130 (Core i5-10300H/ 8GB (4GB x2) DDR4 3200MHz/ HDD 1TB 5400rpm + 256GB SSD M.2 PCIe/ GTX 1650 4GB GDDR6/ 15.6 FHD IPS  120Hz/ Win10) - Hàng Chính Hãng ,Dell,20709000.0,7.0,1.0,8.0,15.6,0.3196808612273176,0.6803191387726825,247
31,31,Laptop Asus ExpertBook P2451FA-EK0229T (Core i5-10210U/ 8GB DDR4 2666MHz/ 512GB SSD PCIE G3X4/ 14 FHD/ Win10) - Hàng Chính Hãng ,Asus,16499000.0,7.0,512.0,8.0,14.0,0.19230725789171607,0.8076927421082841,105
